time,id,name
1/1/2000,1,yogurt
1/1/2000,1,pork
1/1/2000,1,sandwich bags
1/1/2000,1,lunch meat
1/1/2000,1,all- purpose
1/1/2000,1,flour
1/1/2000,1,soda
1/1/2000,1,butter
1/1/2000,1,vegetables
1/1/2000,1,beef
1/1/2000,1,aluminum foil
1/1/2000,1,all- purpose
1/1/2000,1,dinner rolls
1/1/2000,1,shampoo
1/1/2000,1,all- purpose
1/1/2000,1,mixes
1/1/2000,1,soap
1/1/2000,1,laundry detergent
1/1/2000,1,ice cream
1/1/2000,1,dinner rolls
1/1/2000,2,toilet paper
1/1/2000,2,shampoo
1/1/2000,2,hand soap
1/1/2000,2,waffles
1/1/2000,2,vegetables
1/1/2000,2,cheeses
1/1/2000,2,mixes
1/1/2000,2,milk
1/1/2000,2,sandwich bags
1/1/2000,2,laundry detergent
1/1/2000,2,dishwashing liquid/detergent
1/1/2000,2,waffles
1/1/2000,2,individual meals
1/1/2000,2,hand soap
1/1/2000,2,vegetables
1/1/2000,2,individual meals
1/1/2000,2,yogurt
1/1/2000,2,cereals
1/1/2000,2,shampoo
1/1/2000,2,vegetables
1/1/2000,2,aluminum foil
1/1/2000,2,tortillas
1/1/2000,2,mixes
1/2/2000,3,soda
1/2/2000,3,pork
1/2/2000,3,soap
1/2/2000,3,ice cream
1/2/2000,3,toilet paper
1/2/2000,3,dinner rolls
1/2/2000,3,hand soap
1/2/2000,3,spaghetti sauce
1/2/2000,3,milk
1/2/2000,3,ketchup
1/2/2000,3,sandwich loaves
1/2/2000,3,poultry
1/2/2000,3,toilet paper
1/2/2000,3,ice cream
1/2/2000,3,ketchup
1/2/2000,3,vegetables
1/2/2000,3,laundry detergent
1/2/2000,3,spaghetti sauce
1/2/2000,3,bagels
1/2/2000,3,soap
1/2/2000,3,ice cream
1/2/2000,3,shampoo
1/2/2000,3,lunch meat
1/2/2000,3,cereals
1/2/2000,3,spaghetti sauce
1/2/2000,3,pork
1/2/2000,3,vegetables
1/2/2000,3,cheeses
1/2/2000,3,eggs
1/2/2000,3,vegetables
1/2/2000,3,vegetables
1/2/2000,4,cereals
1/2/2000,4,juice
1/2/2000,4,lunch meat
1/2/2000,4,soda
1/2/2000,4,toilet paper
1/2/2000,4,all- purpose
1/2/2000,5,sandwich loaves
1/2/2000,5,pasta
1/2/2000,5,tortillas
1/2/2000,5,mixes
1/2/2000,5,hand soap
1/2/2000,5,toilet paper
1/2/2000,5,vegetables
1/2/2000,5,vegetables
1/2/2000,5,paper towels
1/2/2000,5,vegetables
1/2/2000,5,flour
1/2/2000,5,vegetables
1/2/2000,5,pork
1/2/2000,5,poultry
1/2/2000,5,eggs
1/2/2000,5,vegetables
1/2/2000,5,pork
1/2/2000,5,spaghetti sauce
1/2/2000,5,vegetables
1/2/2000,5,milk
1/2/2000,5,waffles
1/2/2000,5,individual meals
1/2/2000,5,vegetables
1/2/2000,5,dinner rolls
1/2/2000,5,all- purpose
1/2/2000,5,soda
1/2/2000,5,yogurt
1/2/2000,6,laundry detergent
1/2/2000,6,toilet paper
1/2/2000,6,eggs
1/2/2000,6,toilet paper
1/2/2000,6,vegetables
1/2/2000,6,bagels
1/2/2000,6,dishwashing liquid/detergent
1/2/2000,6,cereals
1/2/2000,6,paper towels
1/2/2000,6,laundry detergent
1/2/2000,6,butter
1/2/2000,6,cereals
1/2/2000,6,bagels
1/2/2000,6,paper towels
1/2/2000,6,shampoo
1/2/2000,6,toilet paper
1/2/2000,6,soap
1/2/2000,6,soap
1/2/2000,6,pasta
1/2/2000,6,coffee/tea
1/2/2000,6,poultry
1/2/2000,6,bagels
1/2/2000,6,aluminum foil
1/2/2000,6,butter
1/2/2000,6,spaghetti sauce
1/2/2000,6,ketchup
1/2/2000,6,all- purpose
1/2/2000,6,milk
1/3/2000,7,individual meals
1/3/2000,7,paper towels
1/3/2000,7,tortillas
1/3/2000,7,vegetables
1/3/2000,7,milk
1/3/2000,7,ice cream
1/3/2000,7,juice
1/3/2000,7,dishwashing liquid/detergent
1/3/2000,7,soap
1/3/2000,7,sandwich bags
1/3/2000,7,pasta
1/3/2000,7,ketchup
1/3/2000,7,all- purpose
1/3/2000,7,yogurt
1/3/2000,7,mixes
1/3/2000,7,mixes
1/3/2000,7,toilet paper
1/3/2000,7,vegetables
1/3/2000,7,beef
1/3/2000,7,sandwich bags
1/3/2000,7,eggs
1/3/2000,7,spaghetti sauce
1/3/2000,7,fruits
1/3/2000,7,toilet paper
1/4/2000,8,ice cream
1/4/2000,8,juice
1/4/2000,8,paper towels
1/4/2000,8,waffles
1/4/2000,8,soda
1/4/2000,8,cheeses
1/4/2000,8,poultry
1/4/2000,8,toilet paper
1/4/2000,8,vegetables
1/4/2000,9,juice
1/4/2000,9,poultry
1/4/2000,9,coffee/tea
1/4/2000,9,coffee/tea
1/4/2000,9,dishwashing liquid/detergent
1/5/2000,10,ketchup
1/5/2000,10,coffee/tea
1/5/2000,10,toilet paper
1/5/2000,10,pork
1/5/2000,10,flour
1/5/2000,10,milk
1/5/2000,10,soda
1/5/2000,10,dishwashing liquid/detergent
1/5/2000,10,eggs
1/5/2000,10,tortillas
1/5/2000,10,tortillas
1/5/2000,10,vegetables
1/5/2000,10,fruits
1/5/2000,10,sugar
1/5/2000,10,soap
1/5/2000,10,dishwashing liquid/detergent
1/5/2000,10,juice
1/5/2000,10,sandwich loaves
1/5/2000,10,poultry
1/5/2000,10,eggs
1/5/2000,10,flour
1/5/2000,10,bagels
1/5/2000,10,soda
1/5/2000,10,bagels
1/5/2000,10,soda
1/5/2000,10,beef
1/5/2000,10,coffee/tea
1/5/2000,10,dishwashing liquid/detergent
1/5/2000,10,cheeses
1/5/2000,10,beef
1/5/2000,10,soap
1/5/2000,10,lunch meat
1/5/2000,10,pork
1/5/2000,10,waffles
1/5/2000,11,sandwich loaves
1/5/2000,11,ice cream
1/5/2000,11,soda
1/5/2000,11,bagels
1/5/2000,11,dishwashing liquid/detergent
1/5/2000,11,eggs
1/5/2000,11,sugar
1/5/2000,11,waffles
1/5/2000,11,individual meals
1/5/2000,11,toilet paper
1/5/2000,11,pasta
1/5/2000,11,sandwich loaves
1/5/2000,11,cheeses
1/5/2000,11,vegetables
1/5/2000,11,hand soap
1/5/2000,11,vegetables
1/5/2000,11,vegetables
1/5/2000,11,ketchup
1/5/2000,11,poultry
1/5/2000,11,dinner rolls
1/5/2000,11,dishwashing liquid/detergent
1/5/2000,11,coffee/tea
1/5/2000,11,milk
1/5/2000,11,shampoo
1/5/2000,11,ketchup
1/5/2000,11,sandwich loaves
1/5/2000,11,hand soap
1/5/2000,11,bagels
1/5/2000,11,flour
1/5/2000,11,vegetables
1/5/2000,11,pork
1/6/2000,12,pork
1/6/2000,12,tortillas
1/6/2000,12,pork
1/6/2000,12,shampoo
